Course_Lang,Level_Code,Prerequisite_3_grade,Offline,Availability,Website,Prerequisite_1_grade,Remarks,University,Course,Duration,Prerequisite_3,Face_to_Face,Faculty,Prerequisite_1,Blended,Int_Fees,Full_Time,Country,Prerequisite_2,Prerequisite_2_grade,Currency,Part_Time,Duration_Time,Description,Online,Distance,City,Currency_Time,Local_Fees,Career_Outcomes
English,BA,,yes,D,https://tafeqld.edu.au/oneweb/courses/18892/bachelor-of-contemporary-music,5.5,,TAFE Queensland,Bachelor of Contemporary Music,3,,yes,Creative Arts & Design & Music,IELTS,no,,yes,Australia,,,AUD,no,Years,"Prepare for a career in the 21st Century music industry with this advanced course. This qualification will allow you to launch your career as a performer, songwriter, producer, sound engineer, educator, session musician, musical director, promoter or venue manager.",no,no,Queensland,year,"6,566",
English,BA,,yes,A,https://tafeqld.edu.au/oneweb/courses/17880/bachelor-of-dental-prosthetics,5.5,,TAFE Queensland,Bachelor of Dental Prosthetics,3,,yes,Medical and Nursing,IELTS,no,"78,000",yes,Australia,,,AUD,no,Years,"Brush up your career opportunities with this specialised advanced-level course, and put a smile on people's faces every day as a dental prosthetist.",no,no,Brisbane,year,"18,130",
English,BA,,yes,D,https://tafeqld.edu.au/oneweb/courses/17885/bachelor-of-acting-and-performance,5.5,,TAFE Queensland,Bachelor of Acting and Performance,3,,yes,Creative Arts & Design & Music,IELTS,no,,yes,Australia,,,AUD,no,Years,"Explore your creative place in a contemporary world and establish your career in acting, performance and professional arts practice with this degree. You will develop a range of highly advanced practical skills and specialised knowledge.",no,no,Brisbane,year,"6,561",
English,BA,,yes,D,https://tafeqld.edu.au/oneweb/courses/18968/bachelor-of-digital-design-digital-media,5.5,,TAFE Queensland,Bachelor of Digital Design (Digital Media),3,,yes,Computer Science & Information Technology,IELTS,no,,yes,Australia,,,AUD,no,Years,Take the next step in your digital media career with this degree. Gain specialist knowledge and skills needed to work across a range of creative areas from animation to virtual reality (VR).,no,no,Brisbane,year,"6,570",
English,BA,,yes,D,https://tafeqld.edu.au/oneweb/courses/17899/bachelor-of-creative-industries-contemporary-music-practice,5.5,,TAFE Queensland,Bachelor of Creative Industries (Contemporary Music Practice),3,,yes,Creative Arts & Design & Music,IELTS,no,,yes,Australia,,,AUD,no,Years,"Turn your love of music into a career with this hands-on degree and develop a broad range of coherent, specialised skills and knowledge that will make you stand out in this competitive, global industry.",no,no,Brisbane,year,"6,570",
English,BA,,yes,D,https://tafeqld.edu.au/oneweb/courses/18967/bachelor-of-digital-design-visual-communication-design,5.5,,TAFE Queensland,Bachelor of Digital Design (Visual Communication Design),3,,yes,Computer Science & Information Technology,IELTS,no,,yes,Australia,,,AUD,no,Years,Harness your creativity with this hands-on degree and learn how to communicate and organise information in visually accessible ways across a wide variety of media and contexts.,no,no,Brisbane,year,"6,570",
English,BA,,yes,D,https://tafeqld.edu.au/oneweb/courses/17902/bachelor-of-digital-design-game-design,5.5,,TAFE Queensland,Bachelor of Digital Design (Game Design),3,,yes,Computer Science & Information Technology,IELTS,no,,yes,Australia,,,AUD,no,Years,"It's game on for your career with this digital design degree, taking you through all video game and interactive digital media aspects from concept to production.",no,no,Brisbane,year,"6,570",
English,BA,,yes,D,https://tafeqld.edu.au/oneweb/courses/17888/bachelor-of-creative-industries-applied-fashion,5.5,,TAFE Queensland,Bachelor of Creative Industries (Applied Fashion),3,,yes,Creative Arts & Design & Music,IELTS,no,,yes,Australia,,,AUD,no,Years,Add flair to your career in fashion with this hands-on degree and develop a broad range of advanced technical and creative skills.,no,no,Brisbane,year,"6,570",
English,BA,,yes,D,https://tafeqld.edu.au/oneweb/courses/17919/bachelor-of-creative-industries-visual-arts,5.5,,TAFE Queensland,Bachelor of Creative Industries (Visual Arts),3,,yes,Creative Arts & Design & Music,IELTS,no,,yes,Australia,,,AUD,no,Years,Establish your career in the visual arts with this bachelor degree and develop a broad and coherent range of specialist knowledge and practical skills.,no,no,Brisbane,year,"6,570",
English,BA,,yes,D,https://tafeqld.edu.au/oneweb/courses/18893/bachelor-of-digital-media,5.5,,TAFE Queensland,Bachelor of Digital Media,3,,yes,Computer Science & Information Technology,IELTS,no,,yes,Australia,,,AUD,no,Years,"Get the advanced digital media skills required to launch your career in film, television and radio, newspapers and magazines, online media, graphic design, marketing, advertising or public relations.",no,no,Queensland,year,"6,566",
