Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,TAFE Queensland,Queensland,Bachelor of Contemporary Music,Creative Arts & Design & Music,,"6,566",AUD,year,3,Years,yes,no,IELTS,,,5.5,,,https://tafeqld.edu.au/oneweb/courses/18892/bachelor-of-contemporary-music,English,D,"Prepare for a career in the 21st Century music industry with this advanced course. This qualification will allow you to launch your career as a performer, songwriter, producer, sound engineer, educator, session musician, musical director, promoter or venue manager.",,Australia,no,yes,no,yes,no,
BA,TAFE Queensland,Brisbane,Bachelor of Dental Prosthetics,Medical and Nursing,"78,000","18,130",AUD,year,3,Years,yes,no,IELTS,,,5.5,,,https://tafeqld.edu.au/oneweb/courses/17880/bachelor-of-dental-prosthetics,English,A,"Brush up your career opportunities with this specialised advanced-level course, and put a smile on people's faces every day as a dental prosthetist.",,Australia,no,yes,no,yes,no,
BA,TAFE Queensland,Brisbane,Bachelor of Acting and Performance,Creative Arts & Design & Music,,"6,561",AUD,year,3,Years,yes,no,IELTS,,,5.5,,,https://tafeqld.edu.au/oneweb/courses/17885/bachelor-of-acting-and-performance,English,D,"Explore your creative place in a contemporary world and establish your career in acting, performance and professional arts practice with this degree. You will develop a range of highly advanced practical skills and specialised knowledge.",,Australia,no,yes,no,yes,no,
BA,TAFE Queensland,Brisbane,Bachelor of Digital Design (Digital Media),Computer Science & Information Technology,,"6,570",AUD,year,3,Years,yes,no,IELTS,,,5.5,,,https://tafeqld.edu.au/oneweb/courses/18968/bachelor-of-digital-design-digital-media,English,D,Take the next step in your digital media career with this degree. Gain specialist knowledge and skills needed to work across a range of creative areas from animation to virtual reality (VR).,,Australia,no,yes,no,yes,no,
BA,TAFE Queensland,Brisbane,Bachelor of Creative Industries (Contemporary Music Practice),Creative Arts & Design & Music,,"6,570",AUD,year,3,Years,yes,no,IELTS,,,5.5,,,https://tafeqld.edu.au/oneweb/courses/17899/bachelor-of-creative-industries-contemporary-music-practice,English,D,"Turn your love of music into a career with this hands-on degree and develop a broad range of coherent, specialised skills and knowledge that will make you stand out in this competitive, global industry.",,Australia,no,yes,no,yes,no,
BA,TAFE Queensland,Brisbane,Bachelor of Digital Design (Visual Communication Design),Computer Science & Information Technology,,"6,570",AUD,year,3,Years,yes,no,IELTS,,,5.5,,,https://tafeqld.edu.au/oneweb/courses/18967/bachelor-of-digital-design-visual-communication-design,English,D,Harness your creativity with this hands-on degree and learn how to communicate and organise information in visually accessible ways across a wide variety of media and contexts.,,Australia,no,yes,no,yes,no,
BA,TAFE Queensland,Brisbane,Bachelor of Digital Design (Game Design),Computer Science & Information Technology,,"6,570",AUD,year,3,Years,yes,no,IELTS,,,5.5,,,https://tafeqld.edu.au/oneweb/courses/17902/bachelor-of-digital-design-game-design,English,D,"It's game on for your career with this digital design degree, taking you through all video game and interactive digital media aspects from concept to production.",,Australia,no,yes,no,yes,no,
BA,TAFE Queensland,Brisbane,Bachelor of Creative Industries (Applied Fashion),Creative Arts & Design & Music,,"6,570",AUD,year,3,Years,yes,no,IELTS,,,5.5,,,https://tafeqld.edu.au/oneweb/courses/17888/bachelor-of-creative-industries-applied-fashion,English,D,Add flair to your career in fashion with this hands-on degree and develop a broad range of advanced technical and creative skills.,,Australia,no,yes,no,yes,no,
BA,TAFE Queensland,Brisbane,Bachelor of Creative Industries (Visual Arts),Creative Arts & Design & Music,,"6,570",AUD,year,3,Years,yes,no,IELTS,,,5.5,,,https://tafeqld.edu.au/oneweb/courses/17919/bachelor-of-creative-industries-visual-arts,English,D,Establish your career in the visual arts with this bachelor degree and develop a broad and coherent range of specialist knowledge and practical skills.,,Australia,no,yes,no,yes,no,
BA,TAFE Queensland,Queensland,Bachelor of Digital Media,Computer Science & Information Technology,,"6,566",AUD,year,3,Years,yes,no,IELTS,,,5.5,,,https://tafeqld.edu.au/oneweb/courses/18893/bachelor-of-digital-media,English,D,"Get the advanced digital media skills required to launch your career in film, television and radio, newspapers and magazines, online media, graphic design, marketing, advertising or public relations.",,Australia,no,yes,no,yes,no,
